#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
ASASSN-15mi	  16.299	 0.14693	 0.03442	 0.03501	 -241.96	    -267	    -197	    -316
ASASSN-15ss	  16.738	 0.13687	 0.03556	 0.03592	 -19.525	     -26	     -16	     -47
2001ck	  16.606	 0.15842	 0.03483	 0.03544	 -209.71	    -236	    -186	    -289
PS15bbn	  16.931	 0.13271	  0.0371	 0.03602	 -64.026	     -54	    -162	     -50
2008hj	  16.675	 0.11063	 0.03761	 0.03643	 -111.99	    -106	    -103	    -132
2008hj	  16.631	 0.13028	 0.03761	 0.03643	 -111.99	    -106	    -103	    -132
2002hu	  16.711	 0.11859	  0.0367	 0.03591	 -326.81	    -331	    -317	    -422
2000cf	  16.794	 0.11672	 0.03642	 0.03646	 -178.21	    -181	    -206	    -185
2001eh	  16.754	0.094167	 0.03713	 0.03627	 -283.42	    -281	    -324	    -312
2001eh	   16.74	 0.10428	 0.03713	 0.03627	 -283.42	    -281	    -324	    -312
ASASSN-16db	  16.617	 0.13605	 0.03486	 0.03589	 -408.93	    -462	    -336	    -590
AT2016hns	  16.726	 0.11854	 0.03817	 0.03704	 -105.31	     -94	    -210	     -90
ASASSN-15bc	  16.696	 0.19275	 0.03672	 0.03639	  -330.4	    -351	    -443	    -442
2007jg	   17.08	 0.12527	 0.03707	 0.03652	 -297.74	    -314	    -483	    -432
2007jg	  16.965	 0.12576	 0.03707	 0.03652	 -297.74	    -314	    -483	    -432
2008gb	  16.836	 0.14142	   0.037	 0.03641	 -447.19	    -458	    -387	    -517
2007O	  16.641	 0.10683	 0.03694	 0.03732	 -245.94	    -272	    -275	    -328
2007O	  16.609	 0.10764	 0.03694	 0.03732	 -245.94	    -272	    -275	    -328
2008fr	  16.861	 0.16998	   0.039	  0.0379	 -110.97	     -94	      59	     -92
2009bv	  17.003	 0.10846	 0.03667	 0.03748	 -287.73	    -324	    -301	    -409
2008051	  16.759	 0.12593	 0.03777	 0.03835	 -109.17	    -142	    -293	    -211
ASASSN-15np	  16.773	 0.15787	 0.03768	 0.03832	  -150.2	    -185	    -213	    -259
2008dr	  17.031	 0.10529	 0.04119	 0.03996	 -51.053	     -37	    -152	     -35
PS15cze	  17.296	 0.17042	 0.03937	 0.03891	 -414.19	    -438	    -518	    -547
2003fa	  16.764	 0.10542	 0.04039	 0.04015	 -119.78	    -121	      89	    -127
2003fa	  16.829	 0.10578	 0.04039	 0.04015	 -119.78	    -121	      89	    -127
PS16axi	  16.873	 0.12015	  0.0393	 0.04056	  -93.28	    -131	     -93	    -220
2009do	  16.787	 0.10398	 0.03964	 0.04027	 -206.58	    -223	    -186	    -254
