#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
19543	  19.555	   0.156	  0.1252	  0.1238	 -55.717	-43	-50	-48
13044	  19.487	  0.0879	  0.1259	  0.1245	 -45.028	-35	-45	-39
2992	  19.195	  0.2094	  0.1266	  0.1261	 -38.396	-30	-26	-33
744	    19.4	  0.2036	  0.1283	  0.1269	 -41.926	-33	-43	-36
14871	  19.467	  0.1124	  0.1276	   0.127	 -40.357	-31	-28	-35
18855	  19.491	  0.1246	  0.1278	  0.1272	 -44.354	-34	-32	-38
15508	  19.549	  0.1114	  0.1346	  0.1335	 -50.233	-39	-40	-43
000014	  19.711	  0.1464	  0.1369	   0.136	 -39.871	-30	-30	-34
19775	  19.699	  0.1629	  0.1381	  0.1369	 -33.228	-26	-36	-29
18602	  19.674	  0.1853	  0.1383	   0.137	 -45.309	-35	-44	-39
17366	  19.568	  0.0905	  0.1393	  0.1381	 -27.986	-22	-32	-24
15171	  19.705	  0.1134	  0.1392	  0.1382	 -19.261	-15	-25	-16
190340	  19.726	  0.0876	  0.1396	  0.1382	 -42.346	-33	-42	-36
20084	  19.737	    0.23	  0.1397	  0.1383	 -46.737	-36	-44	-40
090275	  19.715	  0.1031	    0.14	  0.1396	  10.262	13	14	9
1794	  19.914	  0.1305	  0.1419	  0.1407	 -30.016	-23	-33	-26
340229	  19.749	  0.1539	   0.142	  0.1411	 -41.664	-32	-32	-36
2635	  19.778	  0.1133	  0.1437	  0.1431	 -35.688	-27	-24	-31
17497	  19.785	  0.1209	  0.1448	  0.1439	 -43.393	-33	-33	-37
8921	  19.786	  0.1697	  0.1454	  0.1441	 -34.888	-27	-37	-30
13796	  19.692	  0.1209	  0.1487	  0.1473	 -47.132	-37	-43	-40
14024	  19.804	   0.134	  0.1488	  0.1476	 -31.207	-24	-34	-27
180166	  19.851	  0.1201	  0.1475	  0.1476	 -54.987	-50	-51	-47
13736	  19.843	  0.1231	  0.1502	  0.1488	 -42.109	-33	-41	-36
