#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
CSP15B	  15.466	 0.19194	  0.0199	0.020834	  23.673	     134	     281	     135
KISS13j	  18.356	  0.1956	  0.0765	  0.0776	 -38.962	      24	      33	      31
KISS13l	  19.871	 0.89404	   0.132	 0.13299	  10.055	      -8	      -0	      -4
KISS13v	  18.833	  0.1935	  0.0799	0.080713	 -40.411	       7	      10	      13
KISS15m	  16.036	 0.19618	  0.0243	0.025364	  726.03	    -337	    -375	    -487
KISS15n	  15.353	  0.1924	  0.0231	0.023994	 -348.28	     -70	    -395	    -180
LSQ11bk	  17.227	 0.19309	  0.0403	0.040053	 -1091.4	    -427	    -452	    -583
LSQ11ot	  16.945	 0.19084	  0.0273	0.027302	 -306.24	      76	      43	     112
LSQ11pn	  16.218	 0.19813	  0.0327	0.032708	 -512.25	    -237	    -291	    -282
LSQ12agq	  18.075	 0.24973	  0.0642	0.065403	 -384.72	    -114	      28	    -162
LSQ12aor	  19.362	 0.20794	  0.0933	0.094523	 -27.741	      74	      83	      78
LSQ12bld	  18.529	 0.19562	  0.0834	0.084341	 -71.056	      39	      42	      46
LSQ12btn	  17.704	 0.19155	  0.0542	0.055297	 -17.566	      32	    -177	       7
LSQ12ca	  18.987	 0.29517	  0.0994	0.099547	  -55.54	      21	      29	      18
LSQ12cda	  19.772	 0.94095	  0.1375	 0.13841	 -8.3818	      24	      26	      29
LSQ12cdl	  19.136	 0.26667	  0.1079	   0.109	 -37.609	      77	      81	      81
LSQ12fuk	  15.683	 0.24623	  0.0206	0.020571	  72.882	      28	      60	      27
LSQ12fvl	  17.529	 0.19383	  0.0559	0.055947	 -789.25	    -223	    -175	    -305
LSQ12fxd	  16.263	 0.19044	  0.0312	0.031314	  794.61	     295	     363	     360
LSQ12gdj	  16.058	 0.19243	  0.0303	0.029278	 -408.68	    -180	    -130	    -236
LSQ12gef	  18.185	 0.19527	  0.0642	0.063224	 -231.44	    -158	      -7	    -170
LSQ12gln	  19.214	 0.19417	   0.102	 0.10213	 -61.649	      43	      49	      39
LSQ12gxj	  17.366	 0.19064	  0.0355	0.034796	 -628.84	    -259	    -262	    -307
LSQ12gyc	  18.895	 0.19332	  0.0931	0.092451	 -20.006	     -10	     -10	     -16
LSQ12gzm	  19.376	 0.19908	  0.0999	0.099367	 -21.097	      23	      22	      18
LSQ12hjm	  18.346	 0.19078	  0.0714	0.070847	 -98.666	     -13	     -10	     -19
LSQ12hno	  17.729	 0.19275	  0.0473	0.046841	 -615.32	    -289	    -293	    -349
LSQ12hnr	  19.653	 0.30451	  0.1349	 0.13613	 0.86718	      51	      59	      54
LSQ12hvj	  18.326	 0.19479	  0.0713	 0.07244	 -95.024	     119	     127	     122
LSQ12hxx	  17.917	 0.19851	  0.0694	0.068954	 -157.79	      16	      18	       9
LSQ12hzj	  16.663	 0.19107	  0.0334	0.034575	 -333.63	     -41	      48	     -69
LSQ12hzs	   18.42	 0.19211	  0.0721	0.071837	 -163.08	      22	      27	      16
LSQ13abo	  18.269	 0.20161	  0.0674	0.068086	 -165.47	      95	      91	     100
LSQ13aiz	  13.453	  0.1911	  0.0092	0.010249	  650.34	     280	     309	     339
LSQ13cwp	  18.125	  0.1931	  0.0666	0.066247	  -96.83	      -7	      50	      -1
LSQ13dby	  19.263	 0.19629	  0.0999	0.099537	 -25.215	      28	      29	      23
LSQ13dcy	  18.769	 0.19732	  0.0801	0.080067	 -67.262	      17	      24	      12
LSQ13dhj	  19.259	 0.20291	  0.0935	0.092903	 -32.017	      27	      25	      21
LSQ13dkp	  18.137	 0.19461	  0.0689	 0.06849	 -177.11	      39	      39	      32
LSQ13dpm	  17.727	 0.19042	  0.0509	0.052097	  207.08	     119	     162	     128
LSQ13dqh	  19.288	 0.19678	  0.1038	 0.10354	  14.332	     -24	     -18	     -27
LSQ13dsm	  17.211	 0.19054	  0.0424	0.042006	 -310.77	     -87	    -122	    -130
LSQ13pf	  19.239	 0.32798	   0.086	0.086964	 -88.242	      78	      79	      83
LSQ13ry	  16.615	 0.19061	  0.0298	0.030995	 -134.06	     -48	      74	     -67
LSQ13vy	  17.217	 0.19048	  0.0418	0.042136	 -434.81	    -112	    -126	    -149
LSQ14act	  18.069	 0.19207	   0.059	0.059402	 -161.91	     263	     169	     312
LSQ14age	  18.684	 0.19344	  0.0805	0.081536	 -99.754	      86	      89	      92
LSQ14ahc	  17.579	 0.19186	  0.0509	0.051794	 -699.13	    -294	    -591	    -553
LSQ14ahm	  17.598	 0.19227	  0.0498	0.051021	  -8.489	      73	     139	      68
LSQ14ajn	  15.728	 0.19109	   0.021	0.022148	 -133.92	     -55	    -120	     -71
LSQ14asu	  18.573	 0.19452	  0.0684	0.069597	 -99.969	     108	     118	     112
LSQ14auy	  18.735	 0.19649	  0.0824	0.083213	 -101.15	      62	      61	      67
LSQ14azy	  17.492	 0.24838	  0.0458	0.046969	 -500.66	    -144	      26	    -186
LSQ14ba	   18.45	 0.19425	  0.0775	0.078721	 -71.593	      87	      98	      92
LSQ14bbv	  17.709	 0.19083	  0.0588	 0.05848	 -433.22	     -73	    -139	    -153
LSQ14bjj	  18.626	 0.19103	  0.0811	0.081944	 -106.16	      66	      65	      71
LSQ14fms	   18.51	 0.19323	  0.0779	0.077277	  -43.76	      60	      52	      54
LSQ14foj	  17.152	 0.19175	  0.0461	0.045204	 -12.684	     281	     347	     333
LSQ14fom	  17.634	 0.19253	  0.0563	0.055368	  514.64	     221	     380	     261
LSQ14gfb	    17.5	 0.26296	  0.0527	0.052781	 -287.71	      22	     -29	     -12
LSQ14gfn	  19.286	  0.1975	  0.1216	 0.12108	  22.113	     -27	     -24	     -31
LSQ14ghv	  18.317	  0.1913	  0.0667	0.066303	 -192.37	      13	     -29	      -2
LSQ14gov	  18.881	 0.19158	  0.0895	0.089206	 -28.882	      -3	       2	      -7
LSQ14ie	  19.006	  0.1923	  0.0895	0.090509	 -91.809	     108	     111	     112
LSQ14ip	  17.948	 0.20142	  0.0613	0.062423	  15.981	      64	      89	      80
LSQ14jp	  17.481	 0.19201	  0.0454	  0.0465	 -389.65	     260	     -14	     305
LSQ14mc	  17.774	 0.19084	  0.0566	0.057546	 -232.37	    -106	      -1	    -123
LSQ14q	  18.148	 0.19136	   0.067	0.067921	  351.23	      -6	      12	      -2
LSQ14wp	  18.326	 0.19229	  0.0695	0.070663	 -31.706	      37	      52	      43
LSQ14xi	  17.738	 0.19337	  0.0507	0.051859	  -640.9	    -155	    -115	    -225
LSQ15aae	   17.53	 0.19079	  0.0516	0.051806	 -336.09	    -109	    -133	    -141
LSQ15agh	  17.764	 0.19045	    0.06	0.061061	 -116.84	     -42	      18	     -42
LSQ15aja	  18.273	 0.19048	    0.07	0.070014	 -106.94	      -2	     -12	       2
LSQ15alq	   17.21	 0.19055	  0.0471	0.048129	  411.78	      88	    -217	      76
LSQ15bv	  18.179	 0.19327	  0.0689	0.070117	 -101.93	      97	     108	     102
PS1-14ra	   16.21	 0.19063	  0.0281	0.028815	  165.31	     191	     230	     246
PS1-14rx	  18.488	 0.20232	   0.067	0.068048	 -104.68	      31	      39	      39
PS1-14xw	  15.755	 0.19123	  0.0245	0.024596	  353.98	      74	     130	      91
